#{"t_start": 1764555172.557966, "env_id": "None"}
r,l,t
-213.420079,190,8283.124194
273.581343,247,8296.58922
59.752008,450,8320.437488
209.345792,74,8324.436043
149.72844,35,8326.294221
31.447968,450,8350.450341
-12.100006,450,8374.67383
345.034779,151,8382.861573
-70.628006,82,8387.27392
-34.624031,450,8411.219265
133.644061,450,8435.39511
167.812445,53,8438.386267
-11.427996,450,8462.630915
-9.236347,228,8474.961417
-7.991982,208,8486.154817
168.773781,47,8488.705986
250.968013,91,8493.782051
167.901334,49,8496.453528
-16.580033,450,8520.531165
-10.343991,450,8544.546952
168.938659,43,8546.852319
207.302697,61,8550.070696
186.524121,450,8574.183233
-83.090692,112,8580.115647
220.000147,450,8604.102572
116.968021,450,8628.216266
181.745793,56,8631.276604
-6.172009,450,8655.42399
237.123569,84,8659.873485
-12.2,450,8683.863593
154.929326,40,8685.980456
-12.600001,450,8710.228637
161.298206,36,8712.219427
149.461773,47,8714.815499
224.338726,70,8718.590921
242.300021,190,8728.832948
-96.377768,189,8739.122161
-11.995975,450,8763.385264
195.612459,62,8766.884448
125.973775,74,8770.988255
-111.304082,450,8795.052573
106.252111,450,8818.994494
-16.751993,450,8842.872605
-50.792007,450,8867.059777
-49.468036,450,8890.734037
168.894215,45,8893.093953
-14.900003,450,8916.594631
267.847139,338,8934.621603
5.09204,450,8958.925809
-99.120057,450,8983.181199
394.135241,329,9000.511456
154.096876,123,9007.082166
-57.848425,66,9010.580259
300.637223,135,9017.686499
-77.564053,450,9041.798883
238.2054,76,9045.909706
167.027548,39,9047.935688
265.618238,99,9053.241312
329.244962,141,9060.713075
-12.672005,450,9084.495597
155.568879,33,9086.299871
251.773794,92,9091.249667
166.445778,92,9096.14577
-19.812014,450,9120.243714
-9.815991,450,9144.55007
410.172383,186,9154.623185
126.951553,39,9156.71287
136.856031,450,9181.314718
-48.500008,450,9205.42361
156.374656,34,9207.276588
-61.088008,19,9208.329955
-8.872,450,9232.967388
33.941436,85,9237.610184
-13.528003,450,9262.283911
155.00801,450,9286.698204
-10.543994,450,9311.075868
-97.908046,450,9335.762539
15.512009,450,9360.059229
-7.692006,450,9384.57229
-7.600007,450,9408.907381
189.407127,50,9411.613424
233.813907,424,9434.361562
-12.540029,450,9458.599237
-42.676049,450,9483.216108
-7.299929,450,9507.808579
-58.308038,450,9532.510863
193.360892,204,9543.51576
44.387996,450,9567.92325
326.41905,180,9577.878238
378.913804,227,9590.171846
168.796003,46,9592.691534
8.547969,450,9617.728823
-14.224032,450,9645.225299
267.302798,179,9655.11975
144.992109,450,9680.089244
-94.316446,138,9687.696373
-8.544001,450,9712.299203
323.234764,142,9720.028053
264.323568,120,9726.450563
-7.424025,450,9751.004344
220.980489,71,9754.978154
304.586661,138,9762.691423
140.212438,35,9764.662703
162.281324,184,9774.692698
-13.7,450,9799.072486
252.958238,135,9806.502319
181.427563,93,9811.693636
152.640436,116,9817.869101
140.907104,41,9819.996715
-66.360061,450,9844.366699
181.479126,68,9848.156613
250.413419,193,9858.643832
115.867996,352,9877.411532
103.605878,298,9893.29032
-71.707031,204,9904.262252
182.61824,54,9907.164442
-29.69025,371,9927.607724
38.011994,450,9952.045208
167.968,46,9954.460124
196.41824,63,9957.921248
285.513806,200,9968.702687
102.234692,358,9988.294293
-48.99205,450,10012.599891
219.580054,64,10016.054595
224.12935,76,10020.236076
167.727548,75,10024.477354
154.907103,41,10026.769999
286.09157,174,10036.240846
264.768013,100,10041.857399
12.268006,450,10065.941592
71.444015,450,10090.462296
27.875966,450,10114.979042
-9.815991,450,10139.541229
-14.5,450,10163.690982
196.462685,61,10167.018509
153.967993,46,10169.617106
205.212148,60,10172.986091
301.978553,145,10181.055447
106.288934,218,10193.105914
0.596014,450,10217.28923
-104.88979,72,10221.272541
324.658248,405,10243.100619
15.463951,450,10267.423197
-15.028005,450,10291.816878
130.188552,161,10300.744734
308.152604,191,10311.118592
344.433815,177,10320.806279
99.296901,339,10339.16844
45.984479,188,10349.403743
140.167994,37,10351.416193
19.388059,450,10375.57474
-17.540017,450,10400.16015
84.295992,450,10424.828861
265.872066,91,10429.786418
237.938733,88,10434.619813
-11.356001,450,10459.341004
-12.156006,450,10483.897578
-63.748064,450,10508.260282
201.218231,423,10531.332542
155.507989,64,10534.938758
-11.250156,407,10557.455309
318.530267,146,10565.391446
168.871993,46,10568.012583
224.055822,74,10572.08496
167.027548,39,10574.28123
10.792033,450,10598.698943
167.901334,49,10601.299273
123.612442,134,10608.626138
250.181194,108,10614.554996
263.679124,131,10621.871752
189.429349,49,10624.601668
318.334594,249,10638.198385
106.012027,415,10660.756725
97.631652,390,10682.071796
-19.424009,450,10706.809386
161.426209,63,10710.261347
303.003566,192,10720.795478
29.212055,450,10745.107317
154.77377,47,10747.648991
283.700007,136,10755.233509
294.411146,275,10770.594799
395.588893,222,10782.560004
208.684904,141,10790.318308
150.600884,33,10792.158538
268.160548,125,10799.028796
-15.428006,450,10823.79134
257.713806,191,10833.972327
-90.467991,91,10838.892798
309.511148,212,10850.440109
-10.943994,450,10875.196916
-11.700002,450,10899.621133
284.744508,404,10921.555914
56.172062,450,10945.816063
166.796014,450,10970.240616
-21.115096,222,10982.446796
392.824915,231,10995.116321
209.924933,102,11000.642196
161.320428,35,11002.63765
-3.720034,450,11026.873755
209.456903,69,11030.729573
213.171204,103,11036.267863
155.613323,31,11037.921105
279.75201,433,11061.279179
292.532803,130,11068.504586
187.156005,450,11092.805504
232.208025,450,11117.578135
-54.168027,450,11142.19585
-109.220442,165,11151.556219
-97.462222,47,11154.213835
334.315906,154,11162.689466
209.434681,70,11166.547795
181.768015,55,11169.548032
34.344062,450,11193.782192
-12.7,450,11218.144714
388.945763,212,11229.792306
308.577827,263,11244.075472
251.983178,86,11248.860231
-105.152047,450,11273.337652
161.275984,37,11275.398963
231.827757,109,11281.458225
176.780458,386,11302.398794
46.868068,450,11326.657532
140.212438,35,11328.520754
189.429349,49,11331.165482
265.872066,91,11336.157803
156.374656,34,11338.007737
273.085551,136,11345.09066
46.116011,450,11369.721335
353.573052,160,11378.447612
-91.710222,128,11385.383613
-13.015991,450,11409.67348
57.600058,450,11434.308328
-19.924023,450,11459.102164
296.078721,209,11470.321023
187.658239,171,11479.764726
237.884905,87,11484.502186
237.101347,85,11489.003752
60.295608,174,1156.27198,450154.907103,41-34.124033,450,11524.353489
286.024918,177,11533.991953
195.59-0.888001,450,11552.43-79.552043,450,11561.963761
279.170642,276,11577.189747
-6.000008,450,11601.498565
161.34265,34,11603.398022
293.992416,145,11611.304862
180.-13.128004,450,11620.15918.81598,450,11641.346186
-17.6,450,11666.033958
160.516002,450,11690.420872
239.007135,93,11695.53914
-39.72405,450,11719.904251
269.122229,162,11728.919217
86.059978,450,11753.496916
196.41824,63,11756.856567
