#{"t_start": 1763489288.3692653, "env_id": "None"}
r,l,t
-7.258286,240,1804.157242
109.795062,27,1804.775974
133.346716,83,1806.46089
119.974402,27,1807.083749
-12.605955,240,1812.062548
126.33642,28,1812.745338
-1167.466807,240,1817.934223
126.113869,26,1818.454054
110.156048,19,1818.856286
-8.394715,240,1823.949418
92.872088,18,1824.309727
122.765115,16,1824.632766
132.713656,24,1825.224602
-13.737792,240,1830.350329
138.979574,29,1830.970225
35.098056,240,1836.151792
97.333776,22,1836.595721
132.725105,33,1837.260397
140.955393,43,1838.212994
113.413325,21,1838.653141
-8.577779,240,1844.181898
122.145664,17,1844.538319
104.907693,22,1845.196429
158.789179,58,1846.478095
102.578424,19,1847.085064
-142.816151,10,1847.370365
142.558484,46,1848.384319
122.007177,16,1848.711851
135.757829,34,1849.431474
-2.647789,240,1854.903329
-17.891952,240,1860.114232
15.748672,240,1865.299807
140.01535,38,1866.143003
129.011653,48,1867.121039
12.145514,240,1872.234937
115.602809,136,1875.262532
119.091074,23,1875.747233
149.678379,55,1876.907859
152.5801,49,1877.919341
121.445871,26,1878.536134
138.84893,30,1879.168431
-20.253091,240,1884.28021
106.399567,20,1884.691583
-39.224652,77,1886.338206
112.990433,20,1886.742164
1.012017,240,1891.966016
155.001532,50,1893.065306
-12.844346,240,1898.347136
122.328032,24,1898.996756
129.240739,48,1900.026106
-34.043169,240,1905.257388
132.28784,54,1906.404632
135.821748,33,1907.069726
18.417895,240,1912.30217
12.000792,240,1917.505445
97.385388,16,1917.828059
141.853733,33,1918.554603
-27.877856,240,1923.746053
155.831694,51,1924.796321
79.493388,91,1926.731683
80.876184,18,1927.096072
108.939435,15,1927.473522
141.95743,47,1928.451915
135.559212,27,1929.064346
171.960929,71,1930.6891
137.032046,40,1931.506508
141.874541,32,1932.146961
-14.448527,240,1937.400316
-3.107365,240,1942.601017
64.904301,25,1943.167592
97.232749,22,1943.63883
-2.019853,240,1948.705467
125.301352,18,1949.074085
135.109993,27,1949.609665
-13.186457,240,1954.764355
-2.316526,240,1961.26818
132.409158,23,1961.94147
107.254619,25,1962.736476
-8.036415,240,1969.053156
119.274658,40,1970.082937
132.336889,33,1971.01193
128.828876,30,1971.800479
142.010513,33,1972.738818
-1.395727,240,1979.045671
-18.128927,240,1985.488895
7.24964,240,1991.848104
3.430873,240,1998.320872
-2.026118,240,2004.810585
77.16205,110,2007.667409
173.480665,82,2009.844244
122.061139,16,2010.268605
133.259878,35,2011.121772
166.920365,74,2013.102313
133.774211,31,2013.989367
130.81725,35,2014.849441
141.869433,31,2015.707226
112.508277,35,2016.612411
91.667756,26,2017.346079
110.332457,18,2017.797461
98.722047,54,2019.246049
133.012606,36,2020.213704
132.418938,24,2020.932406
170.939302,70,2022.883948
-16.348658,240,2029.275278
122.61151,32,2030.189993
98.699497,20,2030.754471
97.345329,17,2031.363187
117.555534,23,2032.055074
125.610165,45,2033.214275
